xinji,辛集
gaocheng,藁城
jinzhou,晋州
xinyue,新乐
luquan,鹿泉
zunhua,遵化
fengnan,丰南
qianan,迁安
wuan,武安
nangong,南宫
shahe,沙河
zhuozhou,涿州
dingzhou,定州
anguo,安国
gaobeidian,高碑店
botou,泊头
renqiu,任丘
huanghua,黄骅
hejian,河间
bazhou,霸州
sanhe,三河
jizhou,冀州
shenzhou,深州
gujiao,古交
lucheng,潞城
gaoping,高平
xinzhou,忻州
yuanping,原平
xiaoyi,孝义
lishi,离石
fenyang,汾阳
yuci,榆次
jiexiu,介休
linfen,临汾
houma,侯马
huozhou,霍州
yuncheng,运城
yongji,永济
hejin,河津
huolinguole,霍林郭勒
hailaer,海拉尔
manzhouli,满洲里
zhalantun,扎兰屯
yakeshi,牙克石
genhe,根河
eerguna,额尔古纳
wulanhaote,乌兰浩特
erlianhaote,二连浩特
xilinhaote,锡林浩特
jining,集宁
fengzhen,丰镇
dongsheng,东胜
linhe,临河
xinmin,新民
wafangdian,瓦房店
pulandian,普兰店
zhuanghe,庄河
haicheng,海城
donggang,东港
fengcheng,凤城
linghai,凌海
beining,北宁
gaizhou,盖州
dashiqiao,大石桥
dengta,灯塔
tiefa,铁法
kaiyuan,开原
beipiao,北票
lingyuan,凌源
xingcheng,兴城
jiutai,九台
yushu,榆树
dehui,德惠
jiaohe,蛟河
huadian,桦甸
shulan,舒兰
panshi,磐石
gongzhuling,公主岭
shuangliao,双辽
meihekou,梅河口
jian,集安
linjiang,临江
taonan,洮南
daan,大安
yanji,延吉
tumen,图们
dunhua,敦化
huichun,珲春
longjing,龙井
helong,和龙
acheng,阿城
shuangcheng,双城
shangzhi,尚志
wuchang,五常
nehe,讷河
hulin,虎林
mishan,密山
tieli,铁力
tongjiang,同江
fujin,富锦
suifenhe,绥芬河
hailin,海林
ningan,宁安
muleng,穆棱
beian,北安
wudalianchi,五大连池
suihua,绥化
anda,安达
zhaodong,肇东
hailun,海伦
jiangyin,江阴
yixing,宜兴
xishan,锡山
xinyi,新沂
pizhou,邳州
liyang,溧阳
jintan,金坛
wujin,武进
changshu,常熟
zhangjiagang,张家港
kunshan,昆山
wujiang,吴江
taicang,太仓
wuxian,吴县
qidong,启东
rugao,如皋
tongzhou,通州
haimen,海门
huaian,淮安
dongtai,东台
dafeng,大丰
yizheng,仪征
gaoyou,高邮
jiangdou,江都
danyang,丹阳
yangzhong,扬中
jurong,句容
xinghua,兴化
jingjiang,靖江
taixing,泰兴
jiangyan,姜堰
xiaoshan,萧山
jiande,建德
fuyang,富阳
yuhang,余杭
