ai,爱
an,安岸
ao,奥敖澳
ba,八巴霸
bai,百白拜
bao,包保宝
ban,半
bang,邦榜
bei,北杯
ben,本奔
beng,泵
bi,毕壁
bian,边
biao,表标
bie,别
bin,宾彬斌
bing,兵丙秉屏
bo,波伯博勃搏
bu,步部布
cai,才材财彩
can,灿
cang,苍
cao,操草
ce,策测
ceng,层
cha,查茶
chai,柴
chan,产阐
chang,长常场昌
chao,朝超潮
che,车
chen,称辰晨陈尘宸
cheng,成程诚承
chi,池赤迟弛
chong,崇
chou,踌
chuai
chuan,传川
chuang,窗闯创
chui,吹
chun,春纯淳
ci,辞赐兹
cong,丛聪
cu
cui,崔翠粹萃
cun,村寸存
cuo
da,达大答
dai,代待岱
dan,丹旦
dang,当党
dao,道岛导焘
de,德
deng,灯登邓
di,地帝第笛迪蒂
dian,电点店
diao,雕貂
die,叠蝶碟迭
ding,定顶鼎
diu
dong,东冬
dou,豆都窦
du,读度督杜
duan,端缎段
dui,对队
dun,顿敦盾吨
duo,朵多铎
fa,发法伐
fan,番帆凡范蕃
fang,放房防芳方坊
fei,非飞菲妃蜚霏
fen,分芬奋纷汾玢
feng,风凤封逢蜂丰冯峰
fu,富伏扶服符赋抚
gai,盖该
gan,干赶感甘
gang,刚纲港岗冈罡
gao,高告
ge,哥格歌阁革戈
gen,根
geng,耕耿
gong,工公功攻宫恭贡巩
gou,沟狗钩勾购构苟
gu,古股谷故姑顾固贾
gua,瓜挂鸹
guan,关管官观冠
guang,光广
gui,归贵规桂龟瑰
gun,滚
guo,国果郭聒
hai,海
han,含汗寒汉函
hang,航
hao,好豪浩号昊毫貉镐皓
he,和合河禾核荷何贺诃
heng,恒横衡亨
hong,红虹洪鸿弘宏
hou,后厚
hu,湖虎胡护蝴狐
hua,花华化画滑桦
huai,怀槐
huan,环欢焕
hui,回汇辉挥惠荟
hun,珲荤
huo,活火货伙霍
ji,机几积记极季纪基吉际迹姬集冀济
jia,家加甲佳嘉
jian,尖键建检箭简坚健艰剑俭
jiang,将江姜疆
jiao,交焦娇骄矫轿姣
jie,洁杰捷节介街界结
jin,金劲锦晋津
jing,晶竟静经京敬景竞靖劲静
jiu,久
ju,举具巨局菊
juan,娟绢鹃涓
jue,绝抉厥
jun,军君均俊峻竣骏钧
kai,开凯揩楷恺
kan,看坎勘
kang,康亢抗
kao,考
ke,科可客克
kong,空孔
kou,寇
ku,酷
kuai,快
kui,奎魁
kun,昆
kuo,阔扩括
la,拉腊辣
lai,莱来赖
lan,蓝兰篮阑澜览榄
lang,浪郎朗琅阆
lao,劳老酪
le,乐勒
lei,雷勒蕾磊
li,立李理利礼丽黎栗力
lian,联连炼廉
liang,亮良量粮凉粱靓
liao,料辽廖
lie,猎烈列
lin,林临霖琳
ling,灵岭领零玲铃凌陵棱
liu,流六柳琉
long,龙隆
lou,楼
lu,绿露路陆卢鲁
luan,栾峦鸾銮
lun,伦轮仑
luo,罗洛漯络
ma,麻马玛妈蚂
mai,迈麦脉
man,满蔓缦
mang,莽芒
mao,茂贸毛矛
mei,美妹玫眉梅媚楣嵋魅
men,门
meng,盟梦蒙勐
mi,蜜米密秘弥
mian,绵棉面勉
miao,苗妙
min,民闽敏
ming,明名铭
mo,莫摸磨模摩
mou,谋牟某
mu,木目牡暮慕睦
na,纳
nan,南男楠
nang,囊
nen,嫩
neng,能
nian,年
niao,鸟
ning,宁
niu,牛
nong,农
nu,努
ou,欧
pa
pai,派排拍
pan,潘番盘畔
pang,庞旁胖
pao,跑炮袍
pei,佩裴沛陪
pen,喷
peng,朋彭鹏篷
pi,皮辟
pian,片翩
piao,漂飘缥
pin,品拼
ping,平萍苹屏瓶凭
po,陂
pu,普朴谱铺蒲菩浦
qi,齐奇启旗
qian,千钱前乾
qiang,强
qiao,桥巧俏乔
qie,挈
qin,亲琴秦
qing,晴清庆青
qiong,琼穹
qiu,秋球丘
qu,曲屈渠
quan,全泉权
que,雀鹊阙
qun,群
ren,人韧任
ri,日
rong,容荣融
run,润
sa,萨
sai,塞赛
san,三
sang,桑
sao
se,色
sen,森
sha,沙莎杉
shai
shan,山善珊陕
shang,上商尚
shao,韶绍
she,社射舍
shen,深伸神申
sheng,升胜圣生声甥
shi,石师时诗实视氏
shou,首守收
