dujiaoxi,独角戏
jinguyuan,金谷园 
yipinxian,一品仙
bailongma,白龙马
ziluolan,紫罗兰
xuxiake,徐霞客
qianwanjia,千万家
yalina,雅丽娜
yuruyi,玉如意
jingubang,金箍棒
ashima,阿诗玛
chouxiaozi,臭小子
jianfeicha,减肥茶
huaxianzi,花仙子
fengxinzi,风信子
gaoerfu,高尔夫
alishan,阿里山
baigujing,白骨精
diandongche,电动车
xiaocainu,小财奴
sifangqian,私房钱
shanhuchong,珊瑚虫
junenghuan,聚能环
chuangyejia,创业家
yelaixiang,夜来香
yizhaoxian,一招鲜
bosima,波斯猫
habagou,哈巴狗
yiyeqing,一夜情
wuLongcha,乌龙茶 
yinyuehe,音乐盒
milaoshu,米老鼠
yipinxian,一品鲜
zuixianlou,醉仙楼
zhaocaimao,招财猫
yaoqianshu,摇钱树
jubaopen,聚宝盆
changqingshu,常青树
bianlidian,便利店
xiaohuoban,小伙伴
qijuzhu,起居注
xianrentiao,仙人跳
xianrenqiu,仙人球
pangguanzhe,旁观者
dianyingyuan,电影院
dianshiju,电视剧
hamigua,哈密瓜
zhuomuniao,啄木鸟
malingshu,马铃薯
dingcanwang,订餐网
jianzhanwang,建站网    
jianliwang,简历网       
taokewang,淘客网         
sushenyi,塑身衣          
baisiwa,白丝袜       
jinshenku,紧身裤 
shuangbaotai,双胞胎
tianhuaban,天花板
mafengwo,马蜂窝
hamigua,哈密瓜
manbuzhe,漫步者
huanghuali,黄花梨
meinanzi,美男子
weikedao,威客岛
pinglunhui,评论汇
qianjinhui,千金汇
weiminghui,微名汇
cailejie,财乐街
duocaiyuan,多财源
jikedao,极客岛
jingjiren,经纪人
gongchengshi,工程师
shouyinji,收音机
tongxinglian,同性恋
dianyingyuan,电影院
xinyongka,信用卡
jisuanji,计算机
zhaoxiangji,照相机
gaoerfu,高尔夫
huaerjie,华尔街
xiaweiyi,夏威夷
bangongshi,办公室
jiaoyizhe,交易者
qihuodao,期货岛
qihuobao,期货宝
yuanmaba,源码吧
haidaowan,海盗湾
yelaixiang,夜来香
kanfengshui,看风水
caimibang,财迷帮
liangyifang,靓衣坊
xuankebao,选课宝
pugongying,蒲公英
ashima,阿诗玛
fumanLou,福满楼
mogaoku,莫高窟
waihuijie,外汇街
zishahu,紫砂壶
Laihama,癞蛤蟆
jinyaoshi,金钥匙
qianlima,千里马
taohuadao,桃花岛
jikedao,极客岛
chuanjiabao,传家宝
alishan,阿里山
youleyuan,游乐园
mingLichang,名利场
Lingshidian,零食店
lingshipu,零食铺
hudiegu,蝴蝶谷
shijinshi,试金石
hongtaomu,红桃木
habagou,哈巴狗
dongdaozhu,东道主
Lanchougu,蓝筹股
mofangxiu,模仿秀
moguyun,蘑菇云
molihua,茉莉花
shuixianhua,水仙花
shensuanzi,神算子
gongfucha,功夫茶
sunwukong,孙悟空
xiakedao,侠客岛
youhuima,优惠码
minglichang,名利场
houhuayuan,后花园

