aiai,爱爱
aihao,爱好
aihu,爱护
aimei,暧昧
aiqing,爱情
aitao,爱淘
aizheng,癌症
anhei,暗黑
anmo,按摩
anqi,安琪
anquan,安全
baicai,白菜
baicao,百草
baida,百搭
baifeng,白凤
baihe,百合
baihuo,百货
baijin,白金
baijiu,白酒
baima,白马
baishi,百事
baishu,柏树
baiyin,白银
baiyuan,白猿
bali,巴黎
bama,爸妈
bandao,半岛
bangong,办公
bangqiu,棒球
bangzhu,帮助
banjia,搬家
banjiu,斑鸠
banyue,半月
banzhu,版主
baofa,爆发
baojian,保健
baojie,宝洁
baoluo,保罗
baoma,宝马
baomu,保姆
baotang,煲汤
baoxian,保险
baoxin,宝信
baoxue,暴雪
baozhi,报纸
baozi,豹子
bawang,霸王
baxi,巴西
beibao,背包
beiji,北极
beisha,贝莎
beizhu,备注
beizi,被子
benpao,奔跑
biaobai,表白
biaoge,表格
biaoyan,表演
bieshu,别墅
bimo,笔墨
bingdian,冰点
binglang,槟榔
bingtang,冰糖
binguan,宾馆
bingxiang,冰箱
bishui,避税
bisi,必思
biya,比亚;碧雅
bobei,博贝
bocai,菠菜;博彩
bojin,铂金
boluo,菠萝
bori,博日
botao,波涛
boyi,博弈
budao,布道
bugao,布告
buluo,部落
caichang,菜场
caigou,采购
caijing,财经
caimi,财迷
caimin,彩民
cainiao,菜鸟
caipai,彩排
caipiao,彩票
caipu,菜谱
caishen,财神
caituan,财团
caiwu,财务
caixian,财险
caizhu,财主
cangchu,仓储
cangku,仓库
cangtian,苍天
canlan,灿烂
canting,餐厅
ceping,测评
ceshi,测试
chadian,茶点
chaguan,茶馆
chajian,插件
chanchu,蟾蜍
changjiang,长江
chanke,产科
chaobi,炒币
chaochao,超超
chaogu,炒股
chaohui,炒汇
chaozuo,炒作
chashang,茶商
chaye,茶叶
chayuan,茶园
checheng,车城
chechuang,车床
chedian,车店
chehui,车会;车惠
chemi,车迷
chenggong,成功
chengren,成人
chengshi,城市
chepin,车品
cheping,车评
chetie,车贴
cheyou,车友
chezai,车载
chezhu,车主
chidao,赤道
chihuo,吃货
chijin,赤金
chonger,宠儿
chongwu,宠物
choujiang,抽奖
chuan,船
